"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"299","","Buffalo (BUF)","","DST24","11","163","374","249.8","49.9","295.0","-4.0"
"300","","Charles Sims","TB","RB84","5","171","350","259.6","47.7","309.0","+9.0"
"301","","Tavon Austin","DAL","WR101","8","165","327","257.2","45.8","242.0","-59.0"
"302","","Daniel Carlson","MIN","K22","10","179","391","249.0","55.3","229.0","-73.0"
"303","","Travis Benjamin","LAC","WR102","8","155","311","251.6","41.6","305.0","+2.0"
"304","","C.J. Fiedorowicz","FA","TE38","","161","248","209.0","39.1","",""
"305","","Jeremy Maclin","FA","WR103","","141","296","251.6","43.9","301.0","-4.0"
"306","","Blake Jarwin","DAL","TE39","8","145","339","247.2","47.3","322.0","+16.0"
"307","","Dallas (DAL)","","DST25","8","168","381","264.4","57.6","269.0","-38.0"
"308","","Garrett Celek","SF","TE40","11","152","340","269.8","45.3","370.0","+62.0"
"309","","Josh Hill","NO","TE41","6","176","329","245.3","56.4","",""
"310","","Brice Butler","ARI","WR104","9","164","322","257.5","35.5","357.0","+47.0"
"311","","D.J. Chark","JAC","WR105","9","160","428","262.8","69.5","278.0","-33.0"
